"Package", "Name","Version"
"pillar","pillar","1.7.0"
"pkgbuild","pkgbuild","1.3.1"
"pkgconfig","pkgconfig","2.0.3"
"pkgload","pkgload","1.2.4"
"plm","plm","2.6-1"
"plotrix","plotrix","3.8-2"
"plyr","plyr","1.8.7"
"png","png","0.1-7"
"praise","praise","1.0.0"
"prettyunits","prettyunits","1.1.1"
"processx","processx","3.5.2"
"progress","progress","1.2.2"
"promises","promises","1.2.0.1"
"proxy","proxy","0.4-26"
"ps","ps","1.6.0"
"psych","psych","2.2.3"
"purrr","purrr","0.3.4"
"quadprog","quadprog","1.5-8"
"quanteda","quanteda","3.2.1"
"quanteda.textplots","quanteda.textplots","0.94.1"
"quantreg","quantreg","5.88"
"R6","R6","2.5.1"
"ramify","ramify","0.3.3"
"randomForest","randomForest","4.7-1.1"
"rappdirs","rappdirs","0.3.3"
"rbibutils","rbibutils","2.2.7"
"rcmdcheck","rcmdcheck","1.4.0"
"RColorBrewer","RColorBrewer","1.1-2"
"Rcpp","Rcpp","1.0.8.3"
"RcppArmadillo","RcppArmadillo","0.10.8.1.0"
"RcppEigen","RcppEigen","0.3.3.9.1"
"RcppParallel","RcppParallel","5.1.5"
"Rdpack","Rdpack","2.3"
"readr","readr","2.1.2"
"readxl","readxl","1.3.1"
"rematch","rematch","1.0.1"
"rematch2","rematch2","2.1.2"
"remotes","remotes","2.4.2"
"repr","repr","1.1.4"
"reprex","reprex","2.0.1"
"reshape2","reshape2","1.4.4"
"rJava","rJava","1.0-6"
"rlang","rlang","1.0.2"
"rmarkdown","rmarkdown","2.13"
"Rmpfr","Rmpfr","0.8-9"
"roxygen2","roxygen2","7.1.2"
"rpf","rpf","1.0.11"
"rprojroot","rprojroot","2.0.2"
"rstudioapi","rstudioapi","0.13"
"Rttf2pt1","Rttf2pt1","1.3.10"
"rversions","rversions","2.1.1"
"rvest","rvest","1.0.2"
"RWeka","RWeka","0.4-44"
"RWekajars","RWekajars","3.9.3-2"
"sampleSelection","sampleSelection","1.2-12"
"sandwich","sandwich","3.0-1"
"sass","sass","0.4.1"
"scales","scales","1.1.1"
"scs","scs","3.0-0"
"selectr","selectr","0.4-2"
"sem","sem","3.1-14"
"semTools","semTools","0.5-5"
"sessioninfo","sessioninfo","1.2.2"
"shape","shape","1.4.6"
"shiny","shiny","1.7.1"
"shinyBS","shinyBS","0.61"
"shinyjs","shinyjs","2.1.0"
"shinythemes","shinythemes","1.2.0"
"sjlabelled","sjlabelled","1.1.8"
"sjmisc","sjmisc","2.8.9"
"sjPlot","sjPlot","2.8.10"
"sjstats","sjstats","0.18.1"
"slam","slam","0.1-50"
"sna","sna","2.6"
"SnowballC","SnowballC","0.7.0"
"sourcetools","sourcetools","0.1.7"
"sp","sp","1.4-6"
"SparseM","SparseM","1.81"
"StanHeaders","StanHeaders","2.21.0-7"
"stargazer","stargazer","5.2.3"
"statnet.common","statnet.common","4.5.0"
"stm","stm","1.3.6"
"stmCorrViz","stmCorrViz","1.3"
"stmgui","stmgui","0.1.6"
"stopwords","stopwords","2.3"
"stringi","stringi","1.7.6"
"stringr","stringr","1.4.0"
"survey","survey","4.1-1"
"sys","sys","3.4"
"systemfit","systemfit","1.1-24"
"testthat","testthat","3.1.2"
"texreg","texreg","1.38.6"
"tibble","tibble","3.1.6"
"tidycomm","tidycomm","0.2.1"
"tidyr","tidyr","1.2.0"
"tidyselect","tidyselect","1.1.2"
"tidyverse","tidyverse","1.3.1"
"tinytex","tinytex","0.37"
"tm","tm","0.7-8"
"tmvnsim","tmvnsim","1.0-2"
"tzdb","tzdb","0.2.0"
"usethis","usethis","2.1.5"
"utf8","utf8","1.2.2"
"uuid","uuid","1.0-4"
"vctrs","vctrs","0.3.8"
"vegan","vegan","2.5-7"
"VGAM","VGAM","1.1-6"
"viridis","viridis","0.6.2"
"viridisLite","viridisLite","0.4.0"
"vroom","vroom","1.5.7"
"waldo","waldo","0.4.0"
"whisker","whisker","0.4"
"withr","withr","2.5.0"
"wordcloud","wordcloud","2.6"
"xfun","xfun","0.30"
"xlsx","xlsx","0.6.5"
"xlsxjars","xlsxjars","0.6.1"
"xml2","xml2","1.3.3"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-4"
"yaml","yaml","2.3.5"
"zip","zip","2.2.0"
"zoo","zoo","1.8-9"
"zTree","zTree","1.0.7"
