responses,open-code,uninformative,SDB,overest. others,underest. own,academic integrity,info asymmetry,AI discussion priming,privacy concerns,self-esteem,self-report bias,network effect,truthful
Perceptions from others,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nobody wants to admit how much they use it.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Students might underreport their own use of LLMs because they don't want to seem lazy or dishonest.,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
People don't want to admit that they are using AI as much as they are.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Lack of communication.,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The costs,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Some students tend to say they use LLMs to sound intellectual and trendy but they're lying.,overest.,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
People are probably embarrassed to admit it if they are using them.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think only a small portion of students actually rely on llms to do coursework, while most students do not. That small portion leads some students to assume most are using it.",overest.,F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I think that this gap could be due to some students not being honest about how frequently they use LLMs out of fear of being judged or ridiculed for it,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Students may think they are more similar to their peers than they actually are.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
very accurate,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
It is likely due to how much people talk about AI nowadays. Along with it mostly being used by high school and college students.,"overest., AI discussion (""priming"")",F,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"The prospect of getting caught. For most schools, getting caught using AI for homework can get students expelled from their program at school.","academic integrity, privacy concerns",F,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
The gap is some pretend and act like they do not use them whereas they actually use them.,SDB,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shame...,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The people taking the surveys don't use AI as much as the people that they know do,truthful,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Being embarrassed to admit how much you rely on AI for your assignments.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'd assume that's because they don't want to appear as though they are trying to cheat or get ahead somehow by using AI while attending college as well as not wanting to look less credible or knowledgeable to their professors or fellow students,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
some may not have friends in college,info asymmetry?,F?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The discrepancy between college students' self-reported and perceived LLM usage and that of their friends can be explained by a number of plausible factors:

 Due to social desirability bias, students may underreport their own use of LLM in order to avoid being seen as technologically dependent or academically dishonest.  Students may wish to project an image of independence and competence because an excessive reliance on AI is stigmatized.
 In contrast, they may exaggerate their friends' use in an attempt to justify or normalize their own actions.  Mental defenses like ""everyone else is doing it"" are widespread.
 Absence of precise knowledge
 It's possible that students don't fully comprehend the frequency of LLM usage among their acquaintances.  Their reliance on anecdotal evidence, rumors, or assumptions may be erroneous.
It's possible that they only observe their peers utilizing LLMs in particular contexts, such as brainstorming or editing, and undervalue their application in other domains, like as writing or research.
 Various meanings of ""usage""
 It's possible that students will understand ""using"" an LLM differently.  While some may just think about direct text generation, others may also think about research, summarizing, or editing using LLMs.
 A student may overestimate a friend's use based on their perception of use, while underestimating their own use due to these disparate definitions.
 Students may project their own worries or anxiety over the use of LLMs onto their friends because they believe that others use them more regularly.",(this may be AI response),T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
they might not know well enough if their friends use it.,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"the gap could be explained by a combination of personal privacy, social perceptions, and varied usage patterns that don't always match what students expect of their peers.","SDB, privacy concerns, overest.",F,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I feel they think they are the only ones or feel unique when in reality the growth and use is larger than we think.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
We are bad at predicting how little or much our friends use it.,"overest., info asymmetry",F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think many of us underestimate our use of AI, but overestimate our peers usage based on assumption. No one wants to own-up to their overreliance on AI","underest., overest., SDB",F,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Biasness,self-report bias?,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Some students might downplay their own use of LLMs due to concerns about academic integrity or stigma around relying on AI for assignments. And again Students might assume their friends use LLMs more frequently because AI generated content is widespread, and discussions about AI tools are common.","SDB, academic integrity, AI discussion priming",F,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
there might be mislead knowledge and an underestimate of how much they actually use ChatGpt,"underest., info asymmetry",F,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
understanding,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Certain friend groups have more of use of LLM than others,network effect,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
poeple usually think their friends are more dependant on  LLMs than themselves,overest.,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Some don’t want to admit using LLMs,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Protecting their self-esteem by disguising their true ai usage by marginally reporting their peer's usage.,"self-esteem, overest.?",F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Maybe they think their friends don't use them.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Most college students use LLMs,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"They don't want to seem like they are using LLMs to help with their school assignments, especially writing assignments.",SDB,F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I think the gap is because more students are using llm,underest.,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Some people don't want to admit to using AI,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
They don't want to be accused of cheating.,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I guess the gap could be because we don't see each other use LLMs, we have to speculate, and we are more likely to speculate radically than moderately.","overest., info asymmetry",F,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"They probably underestimate how much their friends use LLMs. I know for a fact I don't really talk about usage with them, though sometimes we joke around about using AI. That's where my assumptions derive from.",info asymmetry,T,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"College students themselves are not as willing to admit to their LLM usage, but are fine with discussing their friends' usage.",SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I sense a reluctance among people to be truthful about their LLM usage.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I have no idea.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40%,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Priority differences,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
they did not use it often,truthful,F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"The gap likely comes from social desirability bias—students may underreport their own use of LLMs to appear more independent while assuming others rely on them more. Additionally, perception gaps cause students to misjudge their peers' behavior based on assumptions rather than direct knowledge.
","SDB, overest., info asymmetry",F,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Social media portraying AI use, lack of understanding of how much they use it","AI discussion priming, info asymmetry",F,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
No one wants to admit it,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The disparity is most likely caused by social desirability bias, in which students underreport their own LLM usage to look more academically honest, while overestimating their peers' use due to asymmetric perception bias.  Furthermore, students may mistake their awareness of LLM debates or availability for actual usage, distorting their views of others' conduct.  This mismatch demonstrates how individuals frequently misunderstand group standards in relation to their own behavior.","SDB, academic integrity, overest., AI discussion priming, info asymmetry",F,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
im genuinely not too sure.ive never thought statistically how much students use AI.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I'd say they were being dishonest. If their friends are doing it more frequently, then so are they.",underest.?,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
i think so the most likely explanation is that people dont disclose with others of how much they rely on AI,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
not many,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Students may underestimate their own use of LLMs while overestimating their friends' use.,"underest., overest.",F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Students probably don't like admitting to it.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Probably a sense of denial and underlying embarrassment for utilizing these tools because it suggests that their own work is not up-to-par with the professional levels needed to produce such work, and that they as students may not be as well adept, intelligent and skilled/talented as previously assumed because they have used/needed to use these tools.","SDB, self-esteem",F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
People are embarassed,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
People don't want to self report that they use it a lot and make themselves look bad because they rely on it.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
not being snitches,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"They think that by excluding themselves from the question, they will seem more intelligent or focused with their studies.",SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Maybe they don't want to admit that they are as reliant on LLMs as their friends are.,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The most likely explanation for this gap is social desirability bias students may underreport their own use of LLMs to avoid appearing overly dependent on AI while assuming their peers use them more freely.,"SDB, overest.",F,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Overestimating Peer Usage,overest.,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Well i feel a lot of people may not want to tell people how much they depend on LLMs because it might seem as though they don't task their brain to think,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I think it's hard to know how much friends use LLMs.,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"The gap likely stems from social perception biases. Students probably understate their use of LLMs because they want to appear self-sufficient yet they misjudge their classmates' utilization by what they overhear or believe to be true. Student tracking of their AI usage can differ from their assessment of other peers because of mistaken evaluations.
","SDB, overest., info asymmetry",F,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I don't readily discuss this with my friends. I can see them use it on occasion but I don't search through their search history or use AI checkers on their work.,info asymmetry,F?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The use of AI has often been deemed as cheating and that it encourages laziness. That has made individuals to not want to disclose fully their use of AI due to possible stigmatization. The same individuals won't have a problem reporting how their friends use the AI.,"SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
No knowledge of their friends using LLMs so therefore they truly do not know,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I think it is because people do not talk about how much they use LLMs since there is still somewhat of a stigma with using it.,"info asymmetry, SDB",F,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
The gap likely stems from social desirability bias. Students underreport their own LLM use due to stigma while overestimating peers' usage. The availability heuristic also plays a role; hearing about classmates using LLMs makes it seem widespread. Different interpretations of “use” further contribute to the discrepancy.,"SDB, AI discussion priming",F,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Yes i think so,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Depends if they are smart or not. I fee like smarter people do not need it, but people who need help understanding material will use LLM to help them better understand material.",NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
learning gap,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think there is a stigma attached to the usage of LLMs, particularly for school.","SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
People assume everyone relies on LLMs much like they do.,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
wide,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Some think that their friends rely a little on LLMs but they actually use LLMs everyday.,NA,T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I think it's just the difference between expectations and reality.,info asymmetry?,F?,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
People don't want to admit they use LLMs because it is typically frowned upon to use them,SDB,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sometimes their friends can lie,info asymmetry,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"I think the most likely explanation for this gap is social choice bias. Students might not report using LLM if they think that academic organizations look down on it, but their friends may not care as much about this reputation.","SDB, academic integrity",F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
