"responses","open-code"
"Some students might downplay their own use of LLMs due to concerns about academic integrity or stigma around relying on AI for assignments. And again Students might assume their friends use LLMs more frequently because AI generated content is widespread, and discussions about AI tools are common.","SDB, academic integrity, AI discussion priming"
"there might be mislead knowledge and an underestimate of how much they actually use ChatGpt","underest., info asymmetry"
"Certain friend groups have more of use of LLM than others","network effect"
"poeple usually think their friends are more dependant on  LLMs than themselves","overest."
"Some don’t want to admit using LLMs","SDB"
"Protecting their self-esteem by disguising their true ai usage by marginally reporting their peer's usage.","self-esteem, overest.?"
"Most college students use LLMs","NA"
"They don't want to seem like they are using LLMs to help with their school assignments, especially writing assignments.","SDB"
"I think the gap is because more students are using llm","underest."
"Some people don't want to admit to using AI","SDB"
"They don't want to be accused of cheating.","SDB, academic integrity"
"I guess the gap could be because we don't see each other use LLMs, we have to speculate, and we are more likely to speculate radically than moderately.","overest., info asymmetry"
"College students themselves are not as willing to admit to their LLM usage, but are fine with discussing their friends' usage.","SDB"
"I sense a reluctance among people to be truthful about their LLM usage.","SDB"
"they did not use it often","truthful"
"The gap likely comes from social desirability bias—students may underreport their own use of LLMs to appear more independent while assuming others rely on them more. Additionally, perception gaps cause students to misjudge their peers' behavior based on assumptions rather than direct knowledge.
","SDB, overest., info asymmetry"
"Social media portraying AI use, lack of understanding of how much they use it","AI discussion priming, info asymmetry"
"No one wants to admit it","SDB"
"The disparity is most likely caused by social desirability bias, in which students underreport their own LLM usage to look more academically honest, while overestimating their peers' use due to asymmetric perception bias.  Furthermore, students may mistake their awareness of LLM debates or availability for actual usage, distorting their views of others' conduct.  This mismatch demonstrates how individuals frequently misunderstand group standards in relation to their own behavior.","SDB, academic integrity, overest., AI discussion priming, info asymmetry"
"I'd say they were being dishonest. If their friends are doing it more frequently, then so are they.","underest.?"
"i think so the most likely explanation is that people dont disclose with others of how much they rely on AI","info asymmetry"
"Students may underestimate their own use of LLMs while overestimating their friends' use.","underest., overest."
"Students probably don't like admitting to it.","SDB"
"Probably a sense of denial and underlying embarrassment for utilizing these tools because it suggests that their own work is not up-to-par with the professional levels needed to produce such work, and that they as students may not be as well adept, intelligent and skilled/talented as previously assumed because they have used/needed to use these tools.","SDB, self-esteem"
"People are embarassed","SDB"
"People don't want to self report that they use it a lot and make themselves look bad because they rely on it.","SDB"
"They think that by excluding themselves from the question, they will seem more intelligent or focused with their studies.","SDB"
"Maybe they don't want to admit that they are as reliant on LLMs as their friends are.","SDB"
"The most likely explanation for this gap is social desirability bias students may underreport their own use of LLMs to avoid appearing overly dependent on AI while assuming their peers use them more freely.","SDB, overest."
"Overestimating Peer Usage","overest."
"Well i feel a lot of people may not want to tell people how much they depend on LLMs because it might seem as though they don't task their brain to think","SDB"
"I think it's hard to know how much friends use LLMs.","info asymmetry"
"The gap likely stems from social perception biases. Students probably understate their use of LLMs because they want to appear self-sufficient yet they misjudge their classmates' utilization by what they overhear or believe to be true. Student tracking of their AI usage can differ from their assessment of other peers because of mistaken evaluations.
","SDB, overest., info asymmetry"
"The use of AI has often been deemed as cheating and that it encourages laziness. That has made individuals to not want to disclose fully their use of AI due to possible stigmatization. The same individuals won't have a problem reporting how their friends use the AI.","SDB, academic integrity"
"No knowledge of their friends using LLMs so therefore they truly do not know","info asymmetry"
"I think it is because people do not talk about how much they use LLMs since there is still somewhat of a stigma with using it.","info asymmetry, SDB"
"The gap likely stems from social desirability bias. Students underreport their own LLM use due to stigma while overestimating peers' usage. The availability heuristic also plays a role; hearing about classmates using LLMs makes it seem widespread. Different interpretations of “use” further contribute to the discrepancy.","SDB, AI discussion priming"
"I think there is a stigma attached to the usage of LLMs, particularly for school.","SDB, academic integrity"
"People assume everyone relies on LLMs much like they do.","NA"
"People don't want to admit they use LLMs because it is typically frowned upon to use them","SDB"
"Sometimes their friends can lie","info asymmetry"
"I think the most likely explanation for this gap is social choice bias. Students might not report using LLM if they think that academic organizations look down on it, but their friends may not care as much about this reputation.","SDB, academic integrity"
"some may not have friends in college","info asymmetry?"
"I don't readily discuss this with my friends. I can see them use it on occasion but I don't search through their search history or use AI checkers on their work.","info asymmetry"
"I think it's just the difference between expectations and reality.","info asymmetry?"
"Not sure, a lot of my friends do not use LLMs but I know a lot of my peers do.","NA"
"The exact details extracted from the LLMs database","NA"
"I am not sure maybe people think they use them more then other people.","NA"
"Perceptions from others","NA"
"The costs","NA"
"Students may think they are more similar to their peers than they actually are.","NA"
"very accurate","NA"
"The discrepancy between college students' self-reported and perceived LLM usage and that of their friends can be explained by a number of plausible factors:

 Due to social desirability bias, students may underreport their own use of LLM in order to avoid being seen as technologically dependent or academically dishonest.  Students may wish to project an image of independence and competence because an excessive reliance on AI is stigmatized.
 In contrast, they may exaggerate their friends' use in an attempt to justify or normalize their own actions.  Mental defenses like ""everyone else is doing it"" are widespread.
 Absence of precise knowledge
 It's possible that students don't fully comprehend the frequency of LLM usage among their acquaintances.  Their reliance on anecdotal evidence, rumors, or assumptions may be erroneous.
It's possible that they only observe their peers utilizing LLMs in particular contexts, such as brainstorming or editing, and undervalue their application in other domains, like as writing or research.
 Various meanings of ""usage""
 It's possible that students will understand ""using"" an LLM differently.  While some may just think about direct text generation, others may also think about research, summarizing, or editing using LLMs.
 A student may overestimate a friend's use based on their perception of use, while underestimating their own use due to these disparate definitions.
 Students may project their own worries or anxiety over the use of LLMs onto their friends because they believe that others use them more regularly.","(this may be AI response)"
"I feel they think they are the only ones or feel unique when in reality the growth and use is larger than we think.","NA"
"Biasness","self-report bias?"
"understanding","NA"
"3","NA"
"Maybe they think their friends don't use them.","NA"
"They probably underestimate how much their friends use LLMs. I know for a fact I don't really talk about usage with them, though sometimes we joke around about using AI. That's where my assumptions derive from.","info asymmetry"
"I have no idea.","NA"
"40%","NA"
"Priority differences","NA"
"im genuinely not too sure.ive never thought statistically how much students use AI.","NA"
"not many","NA"
"not being snitches","NA"
"Yes i think so","NA"
"Depends if they are smart or not. I fee like smarter people do not need it, but people who need help understanding material will use LLM to help them better understand material.","NA"
"learning gap","NA"
"wide","NA"
"Some think that their friends rely a little on LLMs but they actually use LLMs everyday.","NA"
