"true_treatment_ordered","session","period","group","game","global_group","chat_decent","chat_advice","chat_cent","strategy1","strategy2","coordinate","coordinate_safe","coordinate_efficient","coordinate_other","payoff_b1","payoff_b2","payoff_manager","any_suggestion","suggest_safe","suggest_efficient","last_suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","truth_a1","truth_a2","false_a1","false_a2","nummess_man","nummess_agent","man_suggest_safe","man_suggest_efficient","man_agree_proposal","man_discuss_coordinate","man_discuss_fairness","man_discuss_efficient","man_discuss_rules","man_discuss_howtoplay","man_explanation","man_ask_game"
"CH/A-D","36","6","1","1","12","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0.66666669","1","0","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","4","7","0","0","0","0","0","0","0","0.66666669","0.66666669","0"
"CH/A-D","36","7","1","5","12","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","8","1","2","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0","0","0.66666669","0.66666669","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","9","1","2","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0","0.66666669","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","10","1","4","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0","0","0","0","0.66666669","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","3","14","0","0","0","0","0","0","0","0","0.66666669","0"
"CH/A-D","36","11","1","2","12","0","1","0","3","3","1","1","0","0","36","36","72","0","0","0","0","0","0","0","1","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","12","1","3","12","0","1","0","3","3","1","1","1","0","40","40","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","13","1","1","12","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","0","0","0","0","1","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","14","1","5","12","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","15","1","3","12","0","1","0","3","3","1","1","1","0","40","40","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","16","1","1","12","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","17","1","1","12","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","36","18","1","2","12","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","1","1","4","13","0","1","0","3","3","1","1","0","0","36","36","72","0.5","0","0","0","0","0","0","0","0.66666669","0","0","1","0","0","0","0","0","1","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0","1"
"CH/A-D","37","2","1","2","13","0","1","0","4","4","1","0","0","1","39","25","64","1","0","0","0","1","0","0.66666669","0.66666669","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","1","8","0","0","1","0","0","0","0","0","0","0"
"CH/A-D","37","3","1","5","13","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0.66666669","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","2","7","0","0","0.5","0","0.66666669","0","0","0","0","0"
"CH/A-D","37","4","1","3","13","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","0.5","0","0","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","2","5","0","0","0","0","0","0","0","0","0.66666669","0"
"CH/A-D","37","5","1","5","13","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0.5","0.5","1","0","0","0","1","0.33333334","0.33333334","0","0","0","0","0","0","1","0","0","0","0","2","5","0","0","0.5","0","0","0","1","0","0","0"
"CH/A-D","37","6","1","1","13","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","0","0","1","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","2","4","1","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","7","1","5","13","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","0","0","0","0","0","0","0.66666669","0","0.5","0.5","0","0","0","1","0","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","8","1","2","13","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","4","0","0","1","0","0","0","0","0","0","0"
"CH/A-D","37","9","1","2","13","0","1","0","3","3","1","1","0","0","36","36","72","0","0","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","10","1","4","13","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0.66666669","0.66666669","0","0.66666669","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","4","6","0","0","1","0","0.66666669","0","0","0","0.66666669","0"
"CH/A-D","37","11","1","2","13","0","1","0","3","3","1","1","0","0","36","36","72","0.5","0.5","0","0","1","0","0","0","0","0.66666669","1","0","0","0","0","0","0","1","0","0","0","0","2","6","0","0","0.5","0","0","0","0","0","0","0"
"CH/A-D","37","12","1","3","13","0","1","0","3","3","1","1","1","0","40","40","80","1","1","1","1","0","0","1","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","4","5","0.5","0.5","0","0","1","0","0","0","0","0"
"CH/A-D","37","13","1","1","13","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0.5","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","0","0","5","10","0","0","0","0","0","0","1","0","0","0"
"CH/A-D","37","14","1","5","13","0","1","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","15","1","3","13","0","1","0","3","3","1","1","1","0","40","40","80","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","3","4","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","16","1","1","13","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","2","4","0","0","0","0","0","0","1","0","0","0"
"CH/A-D","37","17","1","1","13","0","1","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0"
"CH/A-D","37","18","1","2","13","0","1","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","7","11","0","0","0.5","0","0","0","0","0","0","0"
"CH/S-D","29","1","1","4","2901","1","0","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","2","1","2","2901","1","0","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","3","1","5","2901","1","0","0","5","1","0","0","0","0","-2","-18","-20","1","0","1","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","4","1","3","2901","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","5","1","5","2901","1","0","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","6","1","1","2901","1","0","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0.33333334","0.5","0","0.33333334","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","7","1","5","2901","1","0","0","4","3","0","0","0","0","29","18","47","1","1","0","0","0","0","0.66666669","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","8","1","2","2901","1","0","0","2","2","1","0","1","0","33","47","80","1","1","1","0.5","1","0","1","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","9","1","2","2901","1","0","0","4","3","0","0","0","0","25","22","47","1","1","0","0","0","0","1","0","0","0.33333334","0","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","10","1","4","2901","1","0","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0.33333334","0.66666669","0","0","0.33333334","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","11","1","2","2901","1","0","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0","1","1","1","0.33333334","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","12","1","3","2901","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","1","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","13","1","1","2901","1","0","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0.66666669","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","14","1","5","2901","1","0","0","4","4","1","0","0","1","43","29","72","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","15","1","3","2901","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","1","0","1","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","16","1","1","2901","1","0","0","2","2","1","0","0","1","29","43","72","1","0","0","0","1","0","0.66666669","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","17","1","1","2901","1","0","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0","0.66666669","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","29","18","1","2","2901","1","0","0","4","4","1","0","0","1","39","25","64","1","0","0","0","1","0","1","0.5","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","1","1","4","3001","1","0","0","3","1","0","0","0","0","8","14","22","1","1","0","0","1","0","0.33333334","0.5","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","2","1","2","3001","1","0","0","3","3","1","1","0","0","36","36","72","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","3","1","5","3001","1","0","0","3","3","1","1","0","0","32","32","64","1","1","0","0","1","0.33333334","0.66666669","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","4","1","3","3001","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","0.5","0.33333334","0.66666669","0","0","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","5","1","5","3001","1","0","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0.5","0.33333334","0.66666669","0","0.33333334","0.33333334","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","6","1","1","3001","1","0","0","5","3","0","0","0","0","10","4","14","0","0","0","0","0","0","0.66666669","1","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","7","1","5","3001","1","0","0","5","5","1","0","1","0","54","26","80","1","0","1","0.5","1","0.66666669","0.33333334","1","0.33333334","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","8","1","2","3001","1","0","0","1","1","1","0","0","1","22","50","72","1","0","1","0","1","0","0.66666669","0.5","0","0.33333334","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","9","1","2","3001","1","0","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0.5","0","0.66666669","0","0.33333334","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","10","1","4","3001","1","0","0","3","3","1","1","0","0","36","36","72","0.5","0.5","0","0","0.5","0","0.33333334","0","0.66666669","1","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","11","1","2","3001","1","0","0","4","4","1","0","0","1","39","25","64","1","0","0","0","0.5","0","0","1","0.33333334","1","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","12","1","3","3001","1","0","0","1","1","1","0","0","1","18","46","64","1","0","0","0","1","0","0.66666669","1","0","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","13","1","1","3001","1","0","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0.5","0.33333334","0.66666669","0.5","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","14","1","5","3001","1","0","0","5","5","1","0","1","0","54","26","80","1","0.5","1","1","1","0","0.66666669","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","15","1","3","3001","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0.66666669","1","0.66666669","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","16","1","1","3001","1","0","0","1","1","1","0","1","0","26","54","80","0","0","0","0","0.5","0","0","0.5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","17","1","1","3001","1","0","0","3","3","1","1","0","0","32","32","64","0","0","0","0","0.5","0.33333334","0.66666669","1","0","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","30","18","1","2","3001","1","0","0","3","3","1","1","0","0","36","36","72","0","0","0","0","1","0.33333334","0.66666669","0.5","0.33333334","1","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","1","1","4","3101","1","0","0","3","3","1","1","0","0","36","36","72","1","1","0","0","0.5","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","2","1","2","3101","1","0","0","2","3","0","0","0","0","19","22","41","1","0","1","0","0","0","0.33333334","1","0","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","3","1","5","3101","1","0","0","5","5","1","0","1","0","54","26","80","1","0","1","1","1","0.33333334","0.66666669","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","4","1","3","3101","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0.33333334","0.66666669","0","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","5","1","5","3101","1","0","0","5","5","1","0","1","0","54","26","80","1","1","1","0","0.5","0.33333334","1","0","0","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","6","1","1","3101","1","0","0","1","1","1","0","1","0","26","54","80","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","7","1","5","3101","1","0","0","5","5","1","0","1","0","54","26","80","1","1","1","0","0","0.33333334","0.66666669","1","0","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","8","1","2","3101","1","0","0","2","1","0","0","0","0","19","36","55","1","0","1","0","0","0","1","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","9","1","2","3101","1","0","0","3","3","1","1","0","0","36","36","72","1","1","0","0","1","0","0.66666669","0.5","0.33333334","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","10","1","4","3101","1","0","0","4","4","1","0","1","0","47","33","80","1","1","1","0","0","0","1","1","0","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","11","1","2","3101","1","0","0","1","3","0","0","0","0","-6","8","2","1","1","0","0","0","0","0.66666669","1","0","0.66666669","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","12","1","3","3101","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","13","1","1","3101","1","0","0","1","1","1","0","1","0","26","54","80","1","0","1","1","0.5","0","0.66666669","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","14","1","5","3101","1","0","0","5","5","1","0","1","0","54","26","80","1","1","1","1","1","0","0.66666669","1","0","0","0.33333334","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","15","1","3","3101","1","0","0","3","3","1","1","1","0","40","40","80","1","1","1","1","1","0","0.33333334","1","0","0.33333334","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","16","1","1","3101","1","0","0","1","1","1","0","1","0","26","54","80","1","0","1","1","0.5","0","0.33333334","0","0.66666669","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","17","1","1","3101","1","0","0","1","1","1","0","1","0","26","54","80","1","0","1","1","0.5","0","0","0","0.33333334","0","0.66666669","0","0","0","0","0","0","1","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0"
"CH/S-D","31","18","1","2","3101","1","0","0","2","2","1","0","1","0","33","47","80","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"CH-MC","32","1","1","4","3201","0","0","1","4","5","0","0","0","0","33","8","41","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0"
"CH-MC","32","2","1","2","3201","0","0","1","2","2","1","0","1","0","33","47","80","1","1","1","1","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","9","11","0","0","0","0","0","0","0","0","0","0"
