"obn","time","session","period","group","game","subjectid","subject","message","messagecode","late","type","strategy1","strategy2","payoff_1","payoff_2","payoff_manager","surplus_babbling"
"755","3","1","10","4","4","120","20","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","36","36","72","72"
"756","9","1","10","4","4","120","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","36","36","72","72"
"757","9","1","10","4","4","115","15","Es el juego: 5","Es el juego 5","1","1","3","3","36","36","72","72"
"758","9","1","10","4","4","101","1","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","3","3","36","36","72","72"
"759","14","1","10","4","4","101","1","Es el juego: 3","Es el juego 3","1","2","3","3","36","36","72","72"
"760","17","1","10","4","4","115","15","Es el juego: 5","Es el juego 5","1","1","3","3","36","36","72","72"
"761","19","1","10","4","4","115","15","Es el juego: 5","Es el juego 5","1","1","3","3","36","36","72","72"
"762","22","1","10","4","4","101","1","Es el juego: 3","Es el juego 3","1","2","3","3","36","36","72","72"
"763","24","1","10","4","4","115","15","C está mintiendo","C está mintiendo","1","1","3","3","36","36","72","72"
"764","27","1","10","4","4","101","1","F está mintiendo","F está mintiendo","1","2","3","3","36","36","72","72"
"765","3","1","10","5","2","126","26","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","42","14","56","72"
"766","5","1","10","5","2","106","6","Es el juego: 4","Es el juego 4","1","2","5","5","42","14","56","72"
"767","9","1","10","5","2","113","13","Es el juego: 5","Es el juego 5","1","1","5","5","42","14","56","72"
"768","12","1","10","5","2","126","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","42","14","56","72"
"769","16","1","10","5","2","113","13","C está mintiendo","C está mintiendo","1","1","5","5","42","14","56","72"
"770","27","1","10","5","2","106","6","F está mintiendo","F está mintiendo","1","2","5","5","42","14","56","72"
"771","43","1","10","5","2","126","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","42","14","56","72"
"772","8","1","10","6","1","125","25","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","38","10","48","64"
"773","11","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"774","12","1","10","6","1","111","11","Es el juego: 5","Es el juego 5","1","1","5","5","38","10","48","64"
"775","14","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"776","15","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"777","16","1","10","6","1","108","8","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","38","10","48","64"
"778","17","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"779","17","1","10","6","1","108","8","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","38","10","48","64"
"780","18","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"781","18","1","10","6","1","108","8","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","38","10","48","64"
"782","19","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"783","20","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"784","21","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"785","22","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"786","23","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"787","23","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"788","24","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"789","25","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"790","26","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"791","26","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"792","28","1","10","6","1","111","11","Es el juego: 5","Es el juego 5","1","1","5","5","38","10","48","64"
"793","28","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"794","29","1","10","6","1","111","11","Es el juego: 5","Es el juego 5","1","1","5","5","38","10","48","64"
"795","31","1","10","6","1","108","8","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","38","10","48","64"
"796","31","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"797","32","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"798","33","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"799","33","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"800","34","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"801","35","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"802","36","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"803","36","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"804","38","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"805","38","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"806","39","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"807","39","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"808","40","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"809","41","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"810","42","1","10","6","1","108","8","F está mintiendo","F está mintiendo","1","2","5","5","38","10","48","64"
"811","42","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"812","44","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"813","44","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"814","45","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"815","45","1","10","6","1","108","8","Es el juego: 1","Es el juego 1","1","2","5","5","38","10","48","64"
"816","46","1","10","6","1","111","11","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","38","10","48","64"
"817","5","1","10","7","1","119","19","¿En qué juego estamos?","¿En qué juego estamos?","1","0","1","1","26","54","80","64"
"818","6","1","10","7","1","104","4","Es el juego: 1","Es el juego 1","1","2","1","1","26","54","80","64"
"819","13","1","10","7","1","118","18","Es el juego: 1","Es el juego 1","1","1","1","1","26","54","80","64"
"820","22","1","10","7","1","104","4","F está diciendo la verdad","F está diciendo la verdad","1","2","1","1","26","54","80","64"
"821","23","1","10","7","1","118","18","C está diciendo la verdad","C está diciendo la verdad","1","1","1","1","26","54","80","64"
"822","2","1","10","8","5","122","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"823","4","1","10","8","5","122","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"824","7","1","10","8","5","105","5","Es el juego: 5","Es el juego 5","1","2","5","5","54","26","80","64"
"825","7","1","10","8","5","122","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"826","8","1","10","8","5","110","10","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"827","9","1","10","8","5","110","10","C está diciendo la verdad","C está diciendo la verdad","1","1","5","5","54","26","80","64"
"828","11","1","10","8","5","105","5","F está diciendo la verdad","F está diciendo la verdad","1","2","5","5","54","26","80","64"
"829","13","1","10","8","5","105","5","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","54","26","80","64"
"830","14","1","10","8","5","122","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"831","15","1","10","8","5","122","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"832","16","1","10","8","5","110","10","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","54","26","80","64"
"833","16","1","10","8","5","122","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"834","18","1","10","8","5","110","10","C está diciendo la verdad","C está diciendo la verdad","1","1","5","5","54","26","80","64"
"835","18","1","10","8","5","105","5","F está diciendo la verdad","F está diciendo la verdad","1","2","5","5","54","26","80","64"
"836","20","1","10","8","5","105","5","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","54","26","80","64"
"837","22","1","10","8","5","110","10","C está diciendo la verdad","C está diciendo la verdad","1","1","5","5","54","26","80","64"
"838","3","1","10","9","5","127","27","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","32","32","64","64"
"839","5","1","10","9","5","127","27","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","32","32","64","64"
"840","6","1","10","9","5","127","27","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","32","32","64","64"
"841","13","1","10","9","5","112","12","Es el juego: 5","Es el juego 5","1","1","3","3","32","32","64","64"
"842","14","1","10","9","5","109","9","Es el juego: 5","Es el juego 5","1","2","3","3","32","32","64","64"
"843","16","1","10","9","5","112","12","C está diciendo la verdad","C está diciendo la verdad","1","1","3","3","32","32","64","64"
"2587","6","2","10","1","4","203","3","Es el juego: 4","Es el juego 4","1","2","1","1","14","42","56","72"
"2588","11","2","10","1","4","213","13","C está diciendo la verdad","C está diciendo la verdad","1","1","1","1","14","42","56","72"
"2589","3","2","10","2","5","220","20","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"2590","4","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2591","6","2","10","2","5","220","20","¿En qué juego estamos?","¿En qué juego estamos?","1","0","5","5","54","26","80","64"
"2592","7","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2593","8","2","10","2","5","215","15","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","54","26","80","64"
"2594","8","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2595","10","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2596","10","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2597","11","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2598","13","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2599","13","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2600","14","2","10","2","5","209","9","F está mintiendo","F está mintiendo","1","2","5","5","54","26","80","64"
"2601","14","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2602","15","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2603","15","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2604","18","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2605","18","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2606","20","2","10","2","5","215","15","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","5","5","54","26","80","64"
"2607","21","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2608","23","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2609","23","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2610","23","2","10","2","5","209","9","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","5","5","54","26","80","64"
"2611","25","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2612","25","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2613","25","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2614","26","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2615","26","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2616","27","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2617","29","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2618","30","2","10","2","5","209","9","F está mintiendo","F está mintiendo","1","2","5","5","54","26","80","64"
"2619","31","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2620","32","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2621","33","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2622","34","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2623","35","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2624","36","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2625","36","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2626","36","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2627","37","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2628","38","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2629","39","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2630","40","2","10","2","5","209","9","Es el juego: 2","Es el juego 2","1","2","5","5","54","26","80","64"
"2631","41","2","10","2","5","215","15","Es el juego: 5","Es el juego 5","1","1","5","5","54","26","80","64"
"2632","41","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2633","42","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2634","43","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2635","44","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2636","45","2","10","2","5","209","9","F está mintiendo","F está mintiendo","1","2","5","5","54","26","80","64"
"2637","45","2","10","2","5","220","20","Por favor decidme la verdad","Por favor decidme la verdad","1","0","5","5","54","26","80","64"
"2638","46","2","10","2","5","215","15","C está mintiendo","C está mintiendo","1","1","5","5","54","26","80","64"
"2639","4","2","10","3","3","222","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","40","40","80","80"
"2640","11","2","10","3","3","222","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","40","40","80","80"
"2641","12","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2642","14","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2643","14","2","10","3","3","222","22","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","40","40","80","80"
"2644","16","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2645","16","2","10","3","3","222","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","40","40","80","80"
"2646","17","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2647","19","2","10","3","3","222","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","40","40","80","80"
"2648","22","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2649","24","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2650","26","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2651","27","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2652","28","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2653","29","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2654","29","2","10","3","3","222","22","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","40","40","80","80"
"2655","31","2","10","3","3","202","2","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","3","3","40","40","80","80"
"2656","32","2","10","3","3","211","11","C está mintiendo","C está mintiendo","1","1","3","3","40","40","80","80"
"2657","33","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2658","35","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2659","36","2","10","3","3","202","2","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","3","3","40","40","80","80"
"2660","37","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2661","38","2","10","3","3","211","11","C está mintiendo","C está mintiendo","1","1","3","3","40","40","80","80"
"2662","39","2","10","3","3","202","2","Es el juego: 1","Es el juego 1","1","2","3","3","40","40","80","80"
"2663","40","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2664","42","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2665","43","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2666","45","2","10","3","3","211","11","Es el juego: 3","Es el juego 3","1","1","3","3","40","40","80","80"
"2667","5","2","10","4","4","201","1","Es el juego: 1","Es el juego 1","1","2","4","4","47","33","80","72"
"2668","7","2","10","4","4","218","18","Es el juego: 4","Es el juego 4","1","1","4","4","47","33","80","72"
"2669","9","2","10","4","4","201","1","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","4","4","47","33","80","72"
"2670","11","2","10","4","4","218","18","C está mintiendo","C está mintiendo","1","1","4","4","47","33","80","72"
"2671","14","2","10","4","4","201","1","F está mintiendo","F está mintiendo","1","2","4","4","47","33","80","72"
"2672","15","2","10","4","4","218","18","Es el juego: 4","Es el juego 4","1","1","4","4","47","33","80","72"
"2673","27","2","10","4","4","201","1","Es el juego: 1","Es el juego 1","1","2","4","4","47","33","80","72"
"2674","30","2","10","4","4","218","18","C está mintiendo","C está mintiendo","1","1","4","4","47","33","80","72"
"2675","30","2","10","4","4","201","1","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","4","4","47","33","80","72"
"2676","31","2","10","4","4","224","24","Por favor decidme la verdad","Por favor decidme la verdad","1","0","4","4","47","33","80","72"
"2677","33","2","10","4","4","201","1","Es el juego: 1","Es el juego 1","1","2","4","4","47","33","80","72"
"2678","35","2","10","4","4","218","18","Es el juego: 4","Es el juego 4","1","1","4","4","47","33","80","72"
"2679","4","2","10","5","2","225","25","¿En qué juego estamos?","¿En qué juego estamos?","1","0","2","2","33","47","80","72"
"2680","5","2","10","5","2","205","5","Es el juego: 1","Es el juego 1","1","2","2","2","33","47","80","72"
"2681","9","2","10","5","2","216","16","Es el juego: 2","Es el juego 2","1","1","2","2","33","47","80","72"
"2682","11","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2683","12","2","10","5","2","205","5","F está mintiendo","F está mintiendo","1","2","2","2","33","47","80","72"
"2684","13","2","10","5","2","225","25","Por favor decidme la verdad","Por favor decidme la verdad","1","0","2","2","33","47","80","72"
"2685","15","2","10","5","2","205","5","Es el juego: 1","Es el juego 1","1","2","2","2","33","47","80","72"
"2686","16","2","10","5","2","216","16","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","2","2","33","47","80","72"
"2687","18","2","10","5","2","205","5","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","2","2","33","47","80","72"
"2688","20","2","10","5","2","205","5","Es el juego: 1","Es el juego 1","1","2","2","2","33","47","80","72"
"2689","22","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2690","22","2","10","5","2","205","5","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","2","2","33","47","80","72"
"2691","23","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2692","25","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2693","26","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2694","27","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2695","32","2","10","5","2","205","5","Es el juego: 1","Es el juego 1","1","2","2","2","33","47","80","72"
"2696","34","2","10","5","2","205","5","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","2","2","33","47","80","72"
"2697","37","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2698","39","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2699","41","2","10","5","2","216","16","C está mintiendo","C está mintiendo","1","1","2","2","33","47","80","72"
"2700","4","2","10","6","1","227","27","¿En qué juego estamos?","¿En qué juego estamos?","1","0","1","1","26","54","80","64"
"2701","15","2","10","6","1","207","7","Es el juego: 1","Es el juego 1","1","2","1","1","26","54","80","64"
"2702","18","2","10","6","1","227","27","Por favor decidme la verdad","Por favor decidme la verdad","1","0","1","1","26","54","80","64"
"2703","19","2","10","6","1","212","12","Es el juego: 1","Es el juego 1","1","1","1","1","26","54","80","64"
"2704","19","2","10","6","1","207","7","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","1","1","26","54","80","64"
"2705","22","2","10","6","1","212","12","C está diciendo la verdad","C está diciendo la verdad","1","1","1","1","26","54","80","64"
"2706","24","2","10","6","1","207","7","F está diciendo la verdad","F está diciendo la verdad","1","2","1","1","26","54","80","64"
"2707","3","2","10","7","1","226","26","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","32","32","64","64"
"2708","5","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2709","6","2","10","7","1","214","14","Es el juego: 1","Es el juego 1","1","1","3","3","32","32","64","64"
"2710","7","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2711","8","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2712","9","2","10","7","1","214","14","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","3","3","32","32","64","64"
"2713","10","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2714","12","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2715","13","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2716","13","2","10","7","1","214","14","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","3","3","32","32","64","64"
"2717","20","2","10","7","1","206","6","Es el juego: 1","Es el juego 1","1","2","3","3","32","32","64","64"
"2718","30","2","10","7","1","214","14","C está diciendo la verdad","C está diciendo la verdad","1","1","3","3","32","32","64","64"
"2719","31","2","10","7","1","226","26","Por favor decidme la verdad","Por favor decidme la verdad","1","0","3","3","32","32","64","64"
"2720","36","2","10","7","1","206","6","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","2","3","3","32","32","64","64"
"2721","37","2","10","7","1","214","14","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","3","3","32","32","64","64"
"2722","38","2","10","7","1","206","6","Es el juego: 1","Es el juego 1","1","2","3","3","32","32","64","64"
"2723","40","2","10","7","1","214","14","Es el juego: 1","Es el juego 1","1","1","3","3","32","32","64","64"
"2724","4","2","10","8","5","219","19","¿En qué juego estamos?","¿En qué juego estamos?","1","0","3","3","32","32","64","64"
"2725","9","2","10","8","5","217","17","Es el juego: 5","Es el juego 5","1","1","3","3","32","32","64","64"
"2726","17","2","10","8","5","217","17","Estoy diciendo la verdad","Estoy diciendo la verdad.","1","1","3","3","32","32","64","64"
"2727","20","2","10","8","5","208","8","Es el juego: 3","Es el juego 3","1","2","3","3","32","32","64","64"
"2728","23","2","10","8","5","208","8","F está mintiendo","F está mintiendo","1","2","3","3","32","32","64","64"
