"session","period","group","game","Type","message","any_suggestion","suggest_safe","suggest_efficient","agree_proposal","discuss_coordinate","discuss_fairness","discuss_efficient","discuss_rules","discuss_howtoplay","explanation","ask_game","receive_report","truthful","falsehood","contradict","disagreement","neither_report","Subject"
"29","1","1","4","0","c3 f3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"29","1","1","4","1","vale","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","sii esa","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","C3 F3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","lo he mirado ahora","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","c3 f3?","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","1","pero lo que quieras","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","0","c2 f2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"29","1","1","4","1","me da igual","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","2","vale va","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","2","pues esa","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","1","va","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","2","que asi comenso un poco","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","2","que en la ronda una tengo 8 puntos y 10","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","1","1","4","1","valee","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","1","1","4","2","que vais a escoger","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6"
"29","2","1","2","1","HOLA","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","hola","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6"
"29","2","1","2","1","z","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","1","Y TU?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","c2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6"
"29","2","1","2","2","bien?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6"
"29","2","1","2","1","perfecto","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","hoola","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","2","el bloque 1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","hola","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","1","c1?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","1","c4f4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","entonces gano yo ahora 50?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","correee","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","la siguiente","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","1","mira","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","1","fijate","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","yaa","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","ahora si, ve a por el de 50","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","peeerf","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","se pensaban que habíamos hecho trampas jaja que susto tú","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","que?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","2","eeeh","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","2","ya lo he pillado","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","1","jajaj que pasa?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","tenemos que coger el que sume 80 siempre","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2"
"29","2","1","2","2","o si no sale","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","2","1","2","1","quedan 7 rondas","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","2","1","2","2","antes has ganado tu , ahora quiero ganar yo","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","2","1","2","1","no querias ganar?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","2","1","2","2","c3 y f3","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9"
"29","2","1","2","1","f3 c3?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","12"
"29","2","1","2","0","perfecto","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"29","2","1","2","1","esa esa","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","2","asi asi juego en equipo","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","2","1","2","2","buah te vas a forrar A","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","2","1","2","2","vale va c3 f3 sui no hay mejor","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","2","1","2","1","por eso","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","16"
"29","2","1","2","0","cual","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"29","2","1","2","2","por 3 puntos me da igual","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","2","1","2","2","c4 c4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"29","2","1","2","0","c4 f4 entonces","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","26"
"29","2","1","2","1","4 4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","2","1","2","1","columna 4 fila 4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","2","1","2","2","yo solo tengo tres filas","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6"
"29","2","1","2","0","que juego vas a escoger?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","21"
"29","2","1","2","1","4","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","2","1","2","1","el juego es el 4 por defecto","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","2","1","2","0","vale","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","21"
"29","2","1","2","1","la columna 4 y la fila 4 es el que mas nos beneficia","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","2","1","2","0","que vais a marcar?","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","21"
"29","2","1","2","1","el juego es el 2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","di tu primero","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","c1","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","6"
"29","3","1","5","1","f1","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","vale bien","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","6"
"29","3","1","5","1","mejor la f5","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","ya estaba decidido jajaj","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","6"
"29","3","1","5","2","si","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","f3","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","ganas mas con el f1","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","c3-f2 esta bien","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","uuuf","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","2","que miedo","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","2","jajajajja","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","en el bloque c5","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","ajajaja","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","por?","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","un poco tarde ya","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","2","porque es la suma mas alta","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","entonces que","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","ahora ya no, no?","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","2"
"29","3","1","5","1","me da uq eno","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","1","iguales?","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","okey , estamos deacuerdo","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","9"
"29","3","1","5","1","menosmal :P","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","12"
"29","3","1","5","2","c1","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","9"
"29","3","1","5","1","f1","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","12"
"29","3","1","5","1","mira tengo una teoria","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","12"
"29","3","1","5","2","iluminame","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","9"
"29","3","1","5","1","en el juego 1 f1 c1 ganas tu","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","12"
"29","3","1","5","1","juego dos f2 c2 ganas mas tu","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","12"
"29","3","1","5","2","jajaja","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","2","BUENA","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","0","bien jugada","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","26"
"29","3","1","5","1","vamos","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","0","sigamos","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","26"
"29","3","1","5","1","pues esa","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","0","por ahira c3 f3","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","26"
"29","3","1","5","1","si","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","leugo hacemos una","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","2","esque hacer eso compensa si luego lo hacemos al reves","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","2","si","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","1","vale pues ya estmos iguales","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","16"
"29","3","1","5","2","tenemos q ir haciendo eso q se va turnando","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","1"
"29","3","1","5","1","columna4 fila 4","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","0","valeç","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","21"
"29","3","1","5","0","siempre lo mismo?","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","21"
"29","3","1","5","1","no","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","mira las variantes","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","hay que ver que nos sume el maximo de puntos a cada uno","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","para poder tener mas ganancias","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","0","vale ya lo entiendo","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","21"
"29","3","1","5","1","en las casillas que haya negativo no le des","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","porque nos afecta y perdemos dinero","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","1","el juego es el 5","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","2","fila 4","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","6"
"29","3","1","5","1","columna 4 fila 4","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","3","1","5","2","si","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","6"
"29","3","1","5","0","si","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","21"
"29","3","1","5","1","ganamos todos","1","0","1","1","0","0.33333334","0","0","0","0","0","0","0","0","0","0","1","10"
"29","4","1","3","2","qué mal xd","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","2","c3 y f3?","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","1","jaja esque el A se nos desmadra","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","f5","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","c3 y f3 ganamos mas","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","1","vañe","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","vale*","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","ok","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","1","vamos bien, no?","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","si jajaj","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","2","es mejor el c2 f2","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","1","c3-f3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","para ambos","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","2","vale c3 f3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","1","f3-c3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","son 32","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","no sabia a cual le ibas a dar","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","1","en el bloque c5f5 de cualquier juego gano yo y en ese mismo juego, en c1-f1 ganas tu","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","se","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","2","iguales?","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","2"
"29","4","1","3","1","perfecto","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","peroq","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","que sentido tiene","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","juego 3 empate","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","12"
"29","4","1","3","1","f3 c3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","12"
"29","4","1","3","1","juego cuatro f4c4 gano yo","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","12"
"29","4","1","3","1","juego cinco f5c5 gano yo","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","12"
"29","4","1","3","1","f3 c3 buen","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","el A ganas mucho","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","o cual?","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","esa","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","1"
"29","4","1","3","1","el A se foora","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","1","forra","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","de 50 -30-80 y al reves","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","1"
"29","4","1","3","2","encima el A gana un poco mas tambn","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","1"
"29","4","1","3","1","ya","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","la siguiente tu o yo depende","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","1"
"29","4","1","3","1","pero si hay de iguales siempre renta tb","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","16"
"29","4","1","3","2","c3 f3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","1"
"29","4","1","3","1","el juego es el 3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","10"
"29","4","1","3","2","filas4","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","2","no","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","1","columna 4 fila 4","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","10"
"29","4","1","3","2","fila 3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","0","3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","21"
"29","4","1","3","0","fila 3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","21"
"29","4","1","3","2","c","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","2","columna 3","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","6"
"29","4","1","3","0","si","1","1","1","1","0","0.33333334","1","0","0","0","0","0","0","0","0","0","1","21"
"29","5","1","5","1","como antes? c3 f3?","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","me parece bien","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","6"
"29","5","1","5","1","el F siempre recibe menos","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","1","o sino cual?","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","recibimos lo mismo en esta","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","6"
"29","5","1","5","1","ya, ya","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","32 cad uno","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","6"
"29","5","1","5","2","que antes he perdido 18 xd","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","6"
"29","5","1","5","1","jajajajajaja porq estabais despuntando","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","sii","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","1","para ambos","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","1","c3-f3 jajajaja siempre el mismo pero son 40","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","1","lo mismo","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","1","miralo","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","1","a ver si lo entiendes","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","c5f5? ganas otra vez mas","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","2","el que?","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","1","tener que ganar 80? si esos 80 no van para ti","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","ya, pero es como mas ganas","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","2","y si nos turnabamos","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","2","no?","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","2","no se, da igual, ya se ha acabado","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","2","jajaja","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","1","jajaja pues eso","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","cuanto habremos ganado?","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","2"
"29","5","1","5","1","poquito","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","2","ajajajajaja oke","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","9"
"29","5","1","5","2","okey","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","9"
"29","5","1","5","2","aceptamos barco","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","9"
"29","5","1","5","1","y es lo mismo solo dependemos del azar de las rondas que sangan","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","12"
"29","5","1","5","1","salgan","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","12"
"29","5","1","5","2","por mi esa","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","1"
"29","5","1","5","0","f3 c3","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","26"
"29","5","1","5","1","pues esa","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","16"
"29","5","1","5","0","defnitiva f3 c3","1","1","0","1","0","1","0","0.33333334","0","0","0","0","0","0","0","0","1","26"
